name,ra,dec
Gemini,"[101.32236, 109.52324999999999, 109.52324999999999, 110.030745, 110.030745, 106.027215, 106.027215, 99.42792, 99.42792, 106.027215, 106.027215, 110.030745, 110.030745, 113.98062, 113.98062, 116.111895, 116.111895, 113.98062, 113.98062, 116.329155, 116.329155, 113.98062, 113.98062, 111.43168499999999, 111.43168499999999, 107.784885, 107.784885, 113.64951, 113.64951, 107.784885, 107.784885, 103.19724, 103.19724, 107.784885, 107.784885, 100.98303, 100.98303, 97.240785, 97.240785, 100.98303, 100.98303, 95.740095, 95.740095, 93.719415, 93.719415, 91.03006500000001]","[12.895591, 16.540383, 16.540383, 21.98232, 21.98232, 20.570297, 20.570297, 16.399252, 16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 26.895741, 26.895741, 24.397993, 24.397993, 26.895741, 26.895741, 28.026199, 28.026199, 26.895741, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.888276, 31.888276, 30.245163, 30.245163, 33.961254, 33.961254, 30.245163, 30.245163, 25.131124, 25.131124, 20.212133, 20.212133, 25.131124, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341]"
Grus,"[328.48212, 331.52871, 331.52871, 337.317375, 337.317375, 332.058135, 332.058135, 340.666725, 340.666725, 337.317375, 337.317375, 340.666725, 340.666725, 342.13858500000003, 342.13858500000003, 345.220155]","[-37.364852, -39.543353, -39.543353, -43.495565, -43.495565, -46.960975, -46.960975, -46.884577, -46.884577, -43.495565, -43.495565, -46.884577, -46.884577, -51.316864, -51.316864, -52.754137]"
Hercules,"[258.75796499999996, 258.661905, 258.661905, 247.55502, 247.55502, 245.48007, 245.48007, 247.55502, 247.55502, 250.32169500000003, 250.32169500000003, 255.07240499999997, 255.07240499999997, 250.32169500000003, 250.32169500000003, 250.72399499999997, 250.72399499999997, 248.52575999999996, 248.52575999999996, 244.935165, 244.935165, 248.52575999999996, 248.52575999999996, 250.72399499999997, 250.72399499999997, 258.76182, 258.76182, 260.92062000000004, 260.92062000000004, 269.06325000000004, 269.06325000000004, 264.86620500000004, 264.86620500000004, 269.06325000000004, 269.06325000000004, 260.92062000000004, 260.92062000000004, 258.76182, 258.76182, 255.07240499999997, 255.07240499999997, 258.75796499999996, 258.75796499999996, 262.68462, 262.68462, 266.614785, 266.614785, 269.44116, 269.44116, 271.88562, 238.168545, 242.19243, 242.19243, 244.935165, 245.48007, 246.35396999999998, 246.35396999999998, 248.15122499999998]","[24.839204, 14.390333, 14.390333, 21.489613, 21.489613, 19.15313, 19.15313, 21.489613, 21.489613, 31.602726, 31.602726, 30.926405, 30.926405, 31.602726, 31.602726, 38.922254, 38.922254, 42.437041, 42.437041, 46.313366, 46.313366, 42.437041, 42.437041, 38.922254, 38.922254, 36.809162, 36.809162, 37.145946, 37.145946, 37.250539, 37.250539, 46.006332, 46.006332, 37.250539, 37.250539, 37.145946, 37.145946, 36.809162, 36.809162, 30.926405, 30.926405, 24.839204, 24.839204, 26.110645, 26.110645, 27.720676, 27.720676, 29.24788, 29.24788, 28.762488, 42.451518, 44.934906, 44.934906, 46.313366, 19.15313, 14.03327, 14.03327, 11.488041]"
Horologium,"[63.500445, 40.638974999999995, 40.638974999999995, 39.351375000000004, 39.351375000000004, 40.164989999999996, 40.164989999999996, 45.903585, 45.903585, 44.699085]","[-42.294368, -50.800294, -50.800294, -52.543086, -52.543086, -54.549911, -54.549911, -59.737775, -59.737775, -64.071284]"
Hydra,"[132.10821, 130.80615, 130.80615, 129.689325, 129.689325, 129.41403, 129.41403, 131.693805, 131.693805, 133.84845, 133.84845, 138.591075, 138.591075, 144.96400500000001, 144.96400500000001, 141.89685, 141.89685, 147.86955, 147.86955, 151.28112, 151.28112, 152.647005, 152.647005, 156.52263, 156.52263, 162.406185, 162.406185, 164.94366000000002, 167.91453, 173.25057, 173.25057, 178.227195, 178.227195, 199.730385, 199.730385, 211.592895, 211.592895, 222.572205]","[5.837812, 3.398662, 3.398662, 3.341435, 3.341435, 5.703782, 5.703782, 6.418809, 6.418809, 5.945563, 5.945563, 2.31428, 2.31428, -1.14281, -1.14281, -8.658603, -8.658603, -14.846603, -14.846603, -13.064626, -13.064626, -12.354083, -12.354083, -16.83629, -16.83629, -16.193648, -16.193648, -18.298783, -22.825847, -31.857625, -31.857625, -33.908124, -33.908124, -23.171512, -23.171512, -26.682361, -26.682361, -27.960371]"
Hydrus,"[6.418740000000001, 56.809425, 56.809425, 35.43747, 35.43747, 29.691765, 29.691765, 6.418740000000001]","[-77.254247, -74.238962, -74.238962, -68.659418, -68.659418, -61.569859, -61.569859, -77.254247]"
Indus,"[313.70247, 311.00948999999997, 311.00948999999997, 309.39173999999997, 309.39173999999997, 319.96644, 319.96644, 329.479395, 329.479395, 313.70247]","[-58.454155, -51.920971, -51.920971, -47.291502, -47.291502, -53.449427, -53.449427, -54.992575, -54.992575, -58.454155]"
Leo Minor,"[143.55576000000002, 151.857315, 151.857315, 156.970905, 156.970905, 163.32789, 163.32789, 156.47842500000002, 156.47842500000002, 151.857315]","[36.397558, 35.244693, 35.244693, 36.707212, 36.707212, 34.214871, 34.214871, 33.79612, 33.79612, 35.244693]"
Lacerta,"[337.38259500000004, 337.822725, 337.822725, 335.890125, 335.890125, 336.12913499999996, 336.12913499999996, 337.38259500000004, 337.38259500000004, 335.25642, 335.25642, 337.62192, 337.62192, 340.128495, 340.128495, 337.62192, 337.62192, 340.128495, 340.128495, 337.38259500000004, 337.38259500000004, 340.128495, 340.128495, 337.62192, 337.62192, 333.46968, 333.46968, 333.9924]","[47.706887, 50.282491, 50.282491, 52.229046, 52.229046, 49.476392, 49.476392, 47.706887, 47.706887, 46.536569, 46.536569, 43.123376, 43.123376, 44.276305, 44.276305, 43.123376, 43.123376, 44.276305, 44.276305, 47.706887, 47.706887, 44.276305, 44.276305, 43.123376, 43.123376, 39.714927, 39.714927, 37.748737]"
Leo,"[152.09298, 151.833135, 151.833135, 154.99309499999998, 154.99309499999998, 154.17256500000002, 154.17256500000002, 148.19097, 148.19097, 146.46282000000002, 154.99309499999998, 168.52706999999998, 168.52706999999998, 177.26494499999998, 177.26494499999998, 168.560025, 168.560025, 168.52706999999998, 168.52706999999998, 168.560025, 168.560025, 151.833135, 148.19097, 141.16359, 141.16359, 142.930125, 142.930125, 146.46282000000002, 146.46282000000002, 151.833135, 168.560025, 170.98104, 170.98104, 170.28414]","[11.967207, 16.762664, 16.762664, 19.841489, 19.841489, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 19.841489, 20.523717, 20.523717, 14.57206, 14.57206, 15.42957, 15.42957, 20.523717, 20.523717, 15.42957, 15.42957, 16.762664, 26.006951, 26.182324, 26.182324, 22.967971, 22.967971, 23.774255, 23.774255, 16.762664, 15.42957, 10.529509, 10.529509, 6.029322]"
