name,ra,dec
Orion,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675, 93.01366499999999, 92.984985, 93.01366499999999, 90.979935, 90.979935, 88.59579000000001, 92.984985, 91.893015, 91.893015, 88.59579000000001, 92.984985, 90.59583, 90.59583, 88.792935, 88.792935, 85.189695, 85.189695, 86.939115, 86.939115, 78.63447, 78.63447, 83.001675, 83.001675, 81.282765, 81.282765, 83.78449499999999, 83.78449499999999, 88.792935, 81.282765, 72.460035, 72.460035, 72.80151000000001, 72.80151000000001, 73.344885, 73.344885, 74.63709, 72.460035, 72.65301, 72.65301, 73.72386, 91.893015, 90.59583]","[-1.942572, -1.20192, -1.20192, -0.299092, 16.130406, 14.208765, 16.130406, 20.138452, 20.138452, 20.276174, 14.208765, 14.768472, 14.768472, 20.276174, 14.208765, 9.647276, 9.647276, 7.407063, 7.407063, -1.942572, -1.942572, -9.669605, -9.669605, -8.20164, -8.20164, -0.299092, -0.299092, 6.349702, 6.349702, 9.934158, 9.934158, 7.407063, 6.349702, 6.961276, 6.961276, 5.605104, 5.605104, 2.508225, 2.508225, 1.714016, 6.961276, 8.900176, 8.900176, 10.150833, 14.768472, 9.647276]"
Pavo,"[306.411885, 321.61057500000004, 321.61057500000004, 311.23970999999995, 311.23970999999995, 302.17735500000003, 302.17735500000003, 306.411885, 302.17735500000003, 300.147675, 300.147675, 280.7589, 280.7589, 284.23765499999996, 284.23765499999996, 302.17735500000003, 284.23765499999996, 283.05431999999996, 283.05431999999996, 275.806755, 275.806755, 272.145, 272.145, 283.05431999999996, 272.145, 266.433315]","[-56.73509, -65.366198, -65.366198, -66.203212, -66.203212, -66.182068, -66.182068, -56.73509, -66.182068, -72.910504, -72.910504, -71.428113, -71.428113, -67.233495, -67.233495, -66.182068, -67.233495, -62.187593, -62.187593, -61.493901, -61.493901, -63.668553, -63.668553, -62.187593, -63.668553, -64.723871]"
Pegasus,"[3.30897, 346.19022, 345.943515, 340.75056, 340.75056, 332.306835, 345.943515, 342.500775, 342.500775, 341.632815, 341.632815, 331.752705, 331.752705, 326.16137999999995, 346.19022, 341.67324, 341.67324, 340.365495, 340.365495, 332.54994, 332.54994, 326.04649500000005, 2.096865, 345.943515, 2.096865, 3.30897, 345.943515, 346.19022]","[15.183596, 15.205264, 28.082789, 30.221245, 30.221245, 33.172337, 28.082789, 24.601579, 24.601579, 23.565654, 23.565654, 25.345112, 25.345112, 25.645036, 15.205264, 12.172888, 12.172888, 10.831364, 10.831364, 6.197865, 6.197865, 9.875011, 29.090432, 28.082789, 29.090432, 15.183596, 28.082789, 15.205264]"
Pictor,"[102.04791, 87.456765, 87.456765, 86.821185]","[-61.941391, -56.166663, -56.166663, -51.066514]"
Perseus,"[56.07972, 58.533, 58.533, 59.741249999999994, 59.741249999999994, 59.46345, 59.46345, 55.73124, 55.73124, 51.08067, 51.08067, 46.19913, 46.19913, 42.674175, 51.08067, 47.04222, 47.04222, 46.29405, 46.29405, 42.645945]","[32.288248, 31.883635, 31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 47.787551, 47.787551, 49.86118, 49.86118, 53.50644, 53.50644, 55.895496, 49.86118, 40.955648, 40.955648, 38.840274, 38.840274, 38.318644]"
Equuleus,"[317.58541499999995, 318.62005500000004, 318.62005500000004, 320.723385, 320.723385, 318.955965, 318.955965, 317.58541499999995]","[10.131579, 10.006981, 10.006981, 6.81114, 6.81114, 5.247845, 5.247845, 10.131579]"
Canis Minor,"[114.825495, 111.78768]","[5.224993, 8.289315]"
Leo Minor,"[163.32789, 156.970905, 156.970905, 151.857315, 151.857315, 143.55576000000002, 151.857315, 163.32789]","[34.214871, 36.707212, 36.707212, 35.244693, 35.244693, 36.397558, 35.244693, 34.214871]"
Vulpecula,"[292.176405, 300.27519]","[24.664905, 27.753573]"
Ursa Minor,"[37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485, 236.014485, 244.376865, 244.376865, 230.182245, 230.182245, 222.676575, 222.676575, 236.014485]","[89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493]"
