name,ra,dec
Hay,"[36.487514999999995, 38.677605, 38.677605, 34.24602, 36.243285, 35.50638, 35.50638, 39.890969999999996]","[-12.29048, -7.859445, -7.859445, -6.422116, -2.780031, -10.777534, -10.777534, -11.872156]"
Pestle (In Winnowing Basket Mansion),"[263.91498, 262.96042500000004, 262.96042500000004, 261.324975]","[-46.505684, -49.876145, -49.876145, -55.529884]"
Pestle (In Rooftop Mansion),"[333.9924, 332.49685500000004, 332.49685500000004, 331.39446]","[37.748737, 33.178224, 33.178224, 28.963981]"
Changsha (Vassal of Chariot),"[185.1402, 185.1402]","[-22.215901, -22.215901]"
Guest House,"[356.978145, 8.603745, 8.603745, 15.137400000000001, 15.137400000000001, 17.922435, 17.922435, 33.621255000000005, 33.621255000000005, 43.98678, 43.98678, 52.26723, 52.26723, 52.478100000000005, 52.478100000000005, 52.500855]","[67.806808, 66.750351, 66.750351, 65.115068, 65.115068, 65.018854, 65.018854, 66.524428, 66.524428, 61.521138, 61.521138, 59.94033, 59.94033, 58.87875, 58.87875, 55.451808]"
Retinue (In Room Mansion),"[237.73974, 235.67092499999998]","[-33.627165, -34.710407]"
Retinue (In Supreme Palace Enclosure),"[175.19612999999998, 175.19612999999998]","[21.35273, 21.35273]"
Great Horn,"[213.91545, 213.91545]","[19.18241, 19.18241]"
Chief Judge,"[183.049665, 183.049665]","[77.616241, 77.616241]"
Mausoleum,"[35.589315, 43.564425, 43.564425, 47.265075, 47.265075, 47.37387, 47.37387, 47.04222, 47.04222, 46.29405, 46.29405, 42.645945, 42.645945, 40.56216]","[55.845653, 52.762479, 52.762479, 49.613278, 49.613278, 44.857544, 44.857544, 40.955648, 40.955648, 38.840274, 38.840274, 38.318644, 38.318644, 40.193944]"
Celestial Temple,[],[]
Mattress of the Emperor,"[212.599725, 210.2937, 210.2937, 209.142405]","[25.091677, 27.386594, 27.386594, 27.492082]"
Emperor's Seat,"[258.661905, 258.661905]","[14.390333, 14.390333]"
Eastern Door,"[247.784865, 246.755985, 246.755985, 246.02577, 246.02577, 248.034165]","[-16.612733, -18.456251, -18.456251, -20.037327, -20.037327, -21.46639]"
Dipper for Liquids,"[246.35396999999998, 243.326865, 243.326865, 243.75534, 243.75534, 248.15122499999998, 248.15122499999998, 249.21516]","[14.03327, 13.526911, 13.526911, 11.490028, 11.490028, 11.488041, 11.488041, 7.107194]"
Trials,"[228.65550000000002, 230.4516]","[-31.519121, -36.261376]"
Send Armed Forces To Suppress (Vassal of Three Stars),"[83.84652, 83.84542499999999, 83.84542499999999, 83.85826499999999, 83.84652, 84.05338499999999]","[-4.838358, -5.41606, -5.41606, -5.909901, -4.838358, -1.20192]"
Punishment,"[243.90528, 241.90173, 241.90173, 240.081705]","[-8.369442, -12.74541, -12.74541, -16.53335]"
Flying Fish,"[135.611655, 107.18682, 135.611655, 126.434265, 135.611655, 124.95410999999999, 135.611655, 109.20762, 135.611655, 115.45506]","[-66.396076, -70.498932, -66.396076, -66.13689, -66.396076, -71.514906, -66.396076, -67.957152, -66.396076, -72.606098]"
Tomb (Vassal of Rooftop),"[337.207965, 335.41407000000004, 337.207965, 338.83908, 337.207965, 336.31926, 337.207965, 331.445985]","[-0.019972, -1.387331, -0.019972, -0.117498, -0.019972, 1.377401, -0.019972, -0.319851]"
Axe,"[355.39371, 356.05032, 356.05032, 357.838905]","[-18.027077, -18.276938, -18.276938, -18.909163]"
Sickle,"[22.400550000000003, 24.71577, 24.71577, 30.001260000000002, 30.001260000000002, 29.167485]","[-21.629339, -21.275384, -21.275384, -21.077831, -21.077831, -22.526785]"
Basket for Mulberry Leaves,"[280.658145, 278.143845, 278.143845, 275.977605, 275.977605, 282.80022, 282.80022, 284.187765, 284.187765, 285.18108, 285.18108, 286.22986499999996]","[55.539457, 57.045599, 57.045599, 58.800736, 58.800736, 59.388351, 59.388351, 57.814851, 57.814851, 55.658301, 55.658301, 53.396654]"
White Patched Nearby,"[56.809425, 42.618825]","[-74.238962, -75.066947]"
Auxiliary Road,"[9.24282, 9.24282]","[53.896909, 53.896909]"
Fu Yue,"[267.464475, 267.464475]","[-37.043304, -37.043304]"
Roofing,"[330.82851, 331.197585]","[-2.155363, -0.906343]"
Canopy Support (Vassal of Canopy of the Emperor),"[57.589529999999996, 47.984355, 47.984355, 31.381544999999996, 31.381544999999996, 31.511010000000002, 31.511010000000002, 30.85902, 30.85902, 32.282805, 32.282805, 30.489659999999997, 30.489659999999997, 25.732395, 25.732395, 22.806659999999997]","[71.332266, 74.393659, 74.393659, 76.11506, 76.11506, 74.583715, 74.583715, 72.421294, 72.421294, 71.552006, 71.552006, 70.90702, 70.90702, 70.622526, 70.622526, 70.264604]"
Flying Corridor,"[37.266555, 28.598760000000002, 28.598760000000002, 21.453239999999997, 21.453239999999997, 17.775255, 17.775255, 12.20838, 12.20838, 11.1813]","[67.402474, 63.670101, 63.670101, 60.235283, 60.235283, 55.149901, 55.149901, 50.968168, 50.968168, 48.284364]"
