name,ra,dec
Cepheus,"[322.16492999999997, 354.83729999999997, 354.83729999999997, 342.4203, 342.4203, 337.2885, 337.2885, 319.64445, 319.64445, 322.16492999999997, 322.16492999999997, 342.4203]","[70.560716, 77.632276, 77.632276, 66.200408, 66.200408, 58.4041, 58.4041, 62.585573, 62.585573, 70.560716, 70.560716, 66.200408]"
Draco,"[268.38201, 263.043765, 263.043765, 262.608195, 262.608195, 269.151555, 269.151555, 268.38201, 268.38201, 288.138375, 288.138375, 297.04275, 297.04275, 288.888435, 288.888435, 275.26104000000004, 275.26104000000004, 257.19671999999997, 257.19671999999997, 245.99790000000002, 245.99790000000002, 240.47297999999998, 240.47297999999998, 231.23241000000002, 231.23241000000002, 211.097475, 211.097475, 188.37087000000002, 188.37087000000002, 158.77317, 158.77317, 144.27226499999998]","[56.872643, 55.184243, 55.184243, 52.301387, 52.301387, 51.488895, 51.488895, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 75.712948, 75.712948, 81.326382]"
Hydra,"[131.693805, 129.41403, 129.41403, 129.689325, 129.689325, 130.80615, 130.80615, 132.10821, 132.10821, 133.84845, 133.84845, 138.591075, 138.591075, 144.96400500000001, 144.96400500000001, 141.89685, 141.89685, 147.86955, 147.86955, 151.28112, 151.28112, 152.647005, 152.647005, 156.52263, 156.52263, 158.50368, 158.50368, 173.25057, 173.25057, 178.227195, 178.227195, 199.730385, 199.730385, 211.592895, 211.592895, 222.572205]","[6.418809, 5.703782, 5.703782, 3.341435, 3.341435, 3.398662, 3.398662, 5.837812, 5.837812, 5.945563, 5.945563, 2.31428, 2.31428, -1.14281, -1.14281, -8.658603, -8.658603, -14.846603, -14.846603, -13.064626, -13.064626, -12.354083, -12.354083, -16.83629, -16.83629, -23.745165, -23.745165, -31.857625, -31.857625, -33.908124, -33.908124, -23.171512, -23.171512, -26.682361, -26.682361, -27.960371]"
Crater,"[179.003985, 176.190735, 176.190735, 171.22053, 171.22053, 169.835205, 169.835205, 171.15246, 171.15246, 174.17047499999998, 171.22053, 167.91453, 169.835205, 164.94366000000002]","[-17.150829, -18.350674, -18.350674, -17.68401, -17.68401, -14.778541, -14.778541, -10.859323, -10.859323, -9.802247, -17.68401, -22.825847, -14.778541, -18.298783]"
Monoceros,"[93.71388, 97.204455, 97.204455, 107.966085, 107.966085, 115.31181, 115.31181, 122.14854, 107.966085, 101.9652, 101.9652, 95.942025]","[-6.274776, -7.033062, -7.033062, -0.492764, -0.492764, -9.551131, -9.551131, -2.983786, -0.492764, 2.412159, 2.412159, 4.592865]"
Cetus,"[40.82517, 38.968635, 38.968635, 37.039755, 37.039755, 41.235585, 41.235585, 44.92875, 44.92875, 45.56988, 45.56988, 40.82517, 40.82517, 39.87066, 39.87066, 34.83663, 34.83663, 27.86514, 27.86514, 21.00585, 21.00585, 17.147460000000002, 17.147460000000002, 4.856985, 4.856985, 10.89735, 10.89735, 17.147460000000002, 27.86514, 26.017185, 26.017185, 30.001260000000002]","[3.235818, 5.593246, 5.593246, 8.460054, 8.460054, 10.114146, 10.114146, 8.907365, 8.907365, 4.089734, 4.089734, 3.235818, 3.235818, 0.328511, 0.328511, -2.977643, -2.977643, -10.335038, -10.335038, -8.183257, -8.183257, -10.182264, -10.182264, -8.823921, -8.823921, -17.986605, -17.986605, -10.182264, -10.335038, -15.93748, -15.93748, -21.077831]"
Eridanus,"[76.962435, 73.223625, 73.223625, 71.375625, 71.375625, 69.079755, 69.079755, 62.966415, 62.966415, 59.507355, 59.507355, 56.535555, 56.535555, 55.81209, 55.81209, 53.23272, 53.23272, 48.958439999999996, 48.958439999999996, 46.06881, 46.06881, 44.10687, 44.10687, 41.275725, 41.275725, 42.759675, 42.759675, 45.597945, 45.597945, 49.87917, 49.87917, 53.446979999999996, 53.446979999999996, 56.712059999999994, 56.712059999999994, 58.427925, 58.427925, 59.981175, 59.981175, 68.37734999999999, 68.88768, 66.009195, 64.473555, 44.565345, 44.565345, 40.166714999999996, 40.166714999999996, 36.746325, 36.746325, 34.12731, 34.12731, 28.98846, 28.98846, 24.42834]","[-5.086446, -5.452695, -5.452695, -3.254657, -3.254657, -3.352459, -3.352459, -6.837581, -6.837581, -13.508515, -13.508515, -12.101589, -12.101589, -9.763395, -9.763395, -9.458262, -9.458262, -8.81973, -8.81973, -7.600857, -7.600857, -8.898144, -8.898144, -18.572563, -18.572563, -21.004019, -21.004019, -23.624472, -23.624472, -21.757864, -21.757864, -21.632883, -21.632883, -23.249723, -23.249723, -24.61223, -24.61223, -24.016215, -24.016215, -29.766492, -30.562341, -34.016846, -33.798348, -40.304672, -40.304672, -39.855375, -39.855375, -47.70384, -47.70384, -51.512165, -51.512165, -51.608896, -51.608896, -57.236757]"
Triangulum,"[28.27044, 32.38587, 32.38587, 34.328595, 34.328595, 28.27044]","[29.578829, 34.987297, 34.987297, 33.847194, 33.847194, 29.578829]"
Coma Berenices,"[197.49703499999998, 197.96856, 197.96856, 186.73449]","[17.529431, 27.878183, 27.878183, 28.268423]"
Puppis,"[121.88605500000001, 117.32356499999999, 117.32356499999999, 120.896055, 120.896055, 109.285665, 109.285665, 112.307685, 112.307685, 120.896055, 112.307685, 99.440295, 99.440295, 102.48398999999999, 102.48398999999999, 112.307685]","[-24.304324, -24.859786, -24.859786, -40.003148, -40.003148, -37.09747, -37.09747, -43.301432, -43.301432, -40.003148, -43.301432, -43.195934, -43.195934, -50.61456, -50.61456, -43.301432]"
