name,ra,dec
Imperial Guards,"[230.67031500000002, 227.21091, 227.21091, 226.27954499999998]","[-44.689622, -45.279857, -45.279857, -47.051245]"
Imperial Guards,"[232.351125, 229.633455, 229.633455, 230.534625]","[-46.732704, -47.875272, -47.875272, -47.927792]"
Imperial Guards,"[234.51348000000002, 235.297575, 235.297575, 233.97189]","[-42.567348, -44.661205, -44.661205, -44.958389]"
Room,"[241.35930000000002, 240.08335499999998, 240.08335499999998, 239.712975, 239.712975, 239.22115499999998, 241.70177999999999, 241.35930000000002]","[-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073, -20.669192, -19.805453]"
Lock (Vassal of Room),"[241.70177999999999, 241.85136]","[-20.669192, -20.868764]"
Door Bolt,"[242.99889000000002, 242.99889000000002]","[-19.460708, -19.460708]"
Punishment,"[246.02577, 246.755985, 246.755985, 247.784865]","[-20.037327, -18.456251, -18.456251, -16.612733]"
Eastern Door,"[250.39326, 248.034165, 248.034165, 246.39632999999998, 246.39632999999998, 247.55199]","[-17.742167, -21.46639, -21.46639, -23.447178, -23.447178, -25.115224]"
Western Door,"[241.0922270833333, 239.547375, 239.547375, 238.456395, 238.456395, 236.01834]","[-159.40344166666668, -14.279358, -14.279358, -16.729293, -16.729293, -15.672834]"
Solar Star,"[238.402995, 238.402995]","[-25.327142, -25.327142]"
Retinue (In Room Mansion),"[241.64811000000003, 237.73974]","[-36.802288, -33.627165]"
Heart,"[245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002]","[-25.592796, -26.432002, -26.432002, -28.216016]"
Group of Soldiers,"[246.00532500000003, 249.09363000000002, 246.00532500000003, 247.845555, 242.82384, 240.03054, 242.82384, 239.876145, 245.621115, 243.813855, 245.621115, 246.796005, 247.92403500000003, 249.09402, 247.92403500000003, 251.17747500000002, 246.00532500000003, 242.82384, 242.82384, 245.621115, 245.621115, 247.92403500000003, 247.92403500000003, 246.00532500000003]","[-39.19298, -35.255326, -39.19298, -34.704366, -41.119803, -38.396706, -41.119803, -41.744436, -43.912051, -47.372021, -43.912051, -47.554786, -41.817145, -42.858861, -41.817145, -40.839675, -39.19298, -41.119803, -41.119803, -43.912051, -43.912051, -41.817145, -41.817145, -39.19298]"
Tail,"[252.54119999999998, 252.96763500000003, 252.96763500000003, 253.49885999999998, 253.49885999999998, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 263.402175, 265.62198, 262.69097999999997, 252.96763500000003, 253.083945]","[-34.293232, -38.04738, -38.04738, -42.362025, -42.362025, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -39.029983, -37.295811, -38.04738, -38.017536]"
Changing Room (Vassal of Tail),"[253.083945, 253.083945]","[-38.017536, -38.017536]"
